Period,Scenario,LoadLevel,Node,p.u.
2030,sc01,01-21 22:00:00+01:00,Node_1,0.9501414735010782
2030,sc01,01-21 23:00:00+01:00,Node_2,0.9500386402880399
2030,sc01,01-21 23:00:00+01:00,Node_3,0.95
2030,sc01,01-21 23:00:00+01:00,Node_1,0.9501423595765626
2030,sc01,02-10 00:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 00:00:00+01:00,Node_3,0.95
2030,sc01,02-10 00:00:00+01:00,Node_1,0.9501431788973749
2030,sc01,02-10 01:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 01:00:00+01:00,Node_3,0.95
2030,sc01,02-10 01:00:00+01:00,Node_1,0.9501445308649834
2030,sc01,02-10 02:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 02:00:00+01:00,Node_3,0.95
2030,sc01,02-10 02:00:00+01:00,Node_1,0.9501448931816191
2030,sc01,02-10 03:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 03:00:00+01:00,Node_3,0.95
2030,sc01,02-10 03:00:00+01:00,Node_1,0.9501437014186538
2030,sc01,02-10 04:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 04:00:00+01:00,Node_3,0.95
2030,sc01,02-10 04:00:00+01:00,Node_1,0.9501408772371108
2030,sc01,02-10 05:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 05:00:00+01:00,Node_3,0.95
2030,sc01,02-10 05:00:00+01:00,Node_1,0.950136831423947
2030,sc01,02-10 06:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 06:00:00+01:00,Node_3,0.95
2030,sc01,02-10 06:00:00+01:00,Node_1,0.9501359202628452
2030,sc01,02-10 07:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 07:00:00+01:00,Node_3,0.95
2030,sc01,02-10 07:00:00+01:00,Node_1,0.9501335822238933
2030,sc01,02-10 08:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 08:00:00+01:00,Node_3,0.95
2030,sc01,02-10 08:00:00+01:00,Node_1,0.9501329743121307
2030,sc01,02-10 09:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 09:00:00+01:00,Node_3,0.95
2030,sc01,02-10 09:00:00+01:00,Node_1,0.9501343947300965
2030,sc01,02-10 10:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 10:00:00+01:00,Node_3,0.95
2030,sc01,02-10 10:00:00+01:00,Node_1,0.9501367077198402
2030,sc01,02-10 11:00:00+01:00,Node_2,0.9500554296065871
2030,sc01,02-10 11:00:00+01:00,Node_3,0.95
2030,sc01,02-10 11:00:00+01:00,Node_1,0.950137303843313
2030,sc01,02-10 12:00:00+01:00,Node_2,0.9500531887126598
2030,sc01,02-10 12:00:00+01:00,Node_3,0.95
2030,sc01,02-10 12:00:00+01:00,Node_1,0.9501356496911173
2030,sc01,02-10 13:00:00+01:00,Node_2,0.9500537362665045
2030,sc01,02-10 13:00:00+01:00,Node_3,0.95
2030,sc01,02-10 13:00:00+01:00,Node_1,0.9501361725617085
2030,sc01,02-10 14:00:00+01:00,Node_2,0.9500557468213703
2030,sc01,02-10 14:00:00+01:00,Node_3,0.95
2030,sc01,02-10 14:00:00+01:00,Node_1,0.9501375529942618
2030,sc01,02-10 15:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 15:00:00+01:00,Node_3,0.95
2030,sc01,02-10 15:00:00+01:00,Node_1,0.9501364668991599
2030,sc01,02-10 16:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 16:00:00+01:00,Node_3,0.95
2030,sc01,02-10 16:00:00+01:00,Node_1,0.9501317452112148
2030,sc01,02-10 17:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 17:00:00+01:00,Node_3,0.95
2030,sc01,02-10 17:00:00+01:00,Node_1,0.9501220223304687
2030,sc01,02-10 18:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 18:00:00+01:00,Node_3,0.95
2030,sc01,02-10 18:00:00+01:00,Node_1,0.9501193092707912
2030,sc01,02-10 19:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 19:00:00+01:00,Node_3,0.95
2030,sc01,02-10 19:00:00+01:00,Node_1,0.9501208313907906
2030,sc01,02-10 20:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 20:00:00+01:00,Node_3,0.95
2030,sc01,02-10 20:00:00+01:00,Node_1,0.9501233151162464
2030,sc01,02-10 21:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 21:00:00+01:00,Node_3,0.95
2030,sc01,02-10 21:00:00+01:00,Node_1,0.9501267153880026
2030,sc01,02-10 22:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 22:00:00+01:00,Node_3,0.95
2030,sc01,02-10 22:00:00+01:00,Node_1,0.950132284898745
2030,sc01,02-10 23:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-10 23:00:00+01:00,Node_3,0.95
2030,sc01,02-10 23:00:00+01:00,Node_1,0.9501352227659122
2030,sc01,02-12 00:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 00:00:00+01:00,Node_3,0.95
2030,sc01,02-12 00:00:00+01:00,Node_1,0.9501260494585431
2030,sc01,02-12 01:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 01:00:00+01:00,Node_3,0.95
2030,sc01,02-12 01:00:00+01:00,Node_1,0.9501260968152783
2030,sc01,02-12 02:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 02:00:00+01:00,Node_3,0.95
2030,sc01,02-12 02:00:00+01:00,Node_1,0.9501264925958847
2030,sc01,02-12 03:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 03:00:00+01:00,Node_3,0.95
2030,sc01,02-12 03:00:00+01:00,Node_1,0.9501256915017131
2030,sc01,02-12 04:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 04:00:00+01:00,Node_3,0.95
2030,sc01,02-12 04:00:00+01:00,Node_1,0.9501221503752572
2030,sc01,02-12 05:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 05:00:00+01:00,Node_3,0.95
2030,sc01,02-12 05:00:00+01:00,Node_1,0.9501170291400042
2030,sc01,02-12 06:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 06:00:00+01:00,Node_3,0.95
2030,sc01,02-12 06:00:00+01:00,Node_1,0.9501114383479135
2030,sc01,02-12 07:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 07:00:00+01:00,Node_3,0.95
2030,sc01,02-12 07:00:00+01:00,Node_1,0.9501090861335517
2030,sc01,02-12 08:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 08:00:00+01:00,Node_3,0.95
2030,sc01,02-12 08:00:00+01:00,Node_1,0.950108843389617
2030,sc01,02-12 09:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 09:00:00+01:00,Node_3,0.95
2030,sc01,02-12 09:00:00+01:00,Node_1,0.9501122569985924
2030,sc01,02-12 10:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 10:00:00+01:00,Node_3,0.95
2030,sc01,02-12 10:00:00+01:00,Node_1,0.950116050598518
2030,sc01,02-12 11:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 11:00:00+01:00,Node_3,0.95
2030,sc01,02-12 11:00:00+01:00,Node_1,0.9501203929992119
2030,sc01,02-12 12:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 12:00:00+01:00,Node_3,0.95
2030,sc01,02-12 12:00:00+01:00,Node_1,0.95012244227227
2030,sc01,02-12 13:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 13:00:00+01:00,Node_3,0.95
2030,sc01,02-12 13:00:00+01:00,Node_1,0.9501236839573183
2030,sc01,02-12 14:00:00+01:00,Node_2,0.9500561780669047
2030,sc01,02-12 14:00:00+01:00,Node_3,0.95
2030,sc01,02-12 14:00:00+01:00,Node_1,0.9501250040120349
