LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-04 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.04819853884,-0.03,-0.06,-0.0738209434399994,0.0481985388399993
01-04 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.04749989585,0.021696032809999,-0.06,-0.12,0.0474998958500009
01-04 06:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0434446940599999,-0.03,0.0031815953700008,-0.12,0.0434446940599991
01-04 07:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03904992198,-0.03,0.0136551471299982,-0.12,0.0390499219800017
01-04 08:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.03549716011,-0.03,0.0189717393699989,-0.12,0.035497160110001
01-04 09:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0334407858799999,-0.03,0.0117393612299977,-0.12,0.0334407858800022
01-04 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0311329358799999,-0.03,-0.0002746583600003,-0.12,0.0311329358800003
01-04 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0294778913599999,-0.03,-0.0073071869399975,-0.12,0.0294778913599975
01-04 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0283527788599999,-0.03,-0.010450641230003,-0.12,0.0283527788600031
01-04 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0275631601099999,0.0193505273100014,-0.06,-0.12,0.0275631601099985
01-04 14:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0273632273299999,-0.03,-0.06,-0.0682176989099972,0.0273632273299972
01-04 15:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0261310718499999,-0.03,-0.06,-0.0592560278299976,0.0261310718499976
01-04 16:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0234786881599999,-0.03,-0.06,-0.0384881380100007,0.0234786881600007
01-04 17:00:00+01:00,-0.02625,0.0525,0.099902183385,0.0,-0.03,-0.12,0.0134769618049999,0.03,0.06,0.12,0.0134769618049999
01-04 18:00:00+01:00,-0.02625,0.0485785087699999,0.105,0.0,-0.03,-0.12,0.01478144892,0.03,0.06,0.12,0.01478144892
01-04 19:00:00+01:00,-0.02625,0.0525,0.103631187,0.0,-0.03,-0.12,0.01402973638,0.03,0.06,0.12,0.01402973638
01-04 20:00:00+01:00,-0.0261735789899999,0.0525,0.105,0.0,-0.03,-0.12,0.0128997797899999,0.03,0.06,0.12,0.0128997797899999
01-04 21:00:00+01:00,0.02625,0.0014846489949999,0.105,0.0,-0.03,-0.12,0.011310970705,0.03,0.06,0.12,0.011310970705
01-04 22:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02794729329,-0.03,0.0236161456199987,-0.12,0.0279472932900012
01-04 23:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02684482315,-0.03,-0.06,-0.0354646583299996,0.0268448231499996
01-05 00:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02297517124,-0.03,0.031805313870002,-0.12,0.0229751712399979
01-05 01:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.02229340261,-0.03,-0.06,-0.0266657632100029,0.0222934026100028
01-05 02:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0226719917799999,-0.03,-0.06,-0.0266819349800005,0.0226719917800005
01-05 03:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0229887964999999,-0.03,-0.06,-0.0257976164899966,0.0229887964999966
01-05 04:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0226146465,-0.03,-0.06,-0.0225250392100033,0.0226146465000033
01-05 05:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0219879042799999,-0.03,-0.06,-0.0168394553799993,0.0219879042799993
01-05 06:00:00+01:00,-0.02625,0.0525,0.093299261605,0.0,-0.03,-0.12,0.015566864085,0.03,0.06,0.12,0.015566864085
01-05 07:00:00+01:00,-0.02625,0.037510242535,0.105,0.0,-0.03,-0.12,0.016420732765,0.03,0.06,0.12,0.016420732765
01-05 08:00:00+01:00,-0.02625,0.0525,0.0896694479849999,0.0,-0.03,-0.12,0.015291097335,0.03,0.06,0.12,0.015291097335
01-05 09:00:00+01:00,-0.02625,0.0525,0.094613637595,0.0,-0.03,-0.12,0.010159409255,0.03,0.06,0.12,0.010159409255
01-05 10:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0139989406,-0.03,-0.06,-0.0236538433899972,0.0139989405999972
01-05 11:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0132446515699999,-0.03,0.0284884373200015,-0.12,0.0132446515699984
01-05 12:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0126479640699999,-0.03,0.0244276723299982,-0.12,0.0126479640700017
01-05 13:00:00+01:00,-0.02625,-0.0525,-0.105,0.0,0.03,0.12,0.0128985890699999,-0.03,-0.06,-0.0383407930499982,0.0128985890699982
