LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac2,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac3,Node_2_Node_3_eac1
10-10 17:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.03288945824,0.12,0.06,-0.0172817718399999,-0.12,0.06
10-10 18:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0907861637599999,0.06,-0.0129548187599999,-0.12,0.06
10-10 19:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09032885715,0.06,-0.01601347305,-0.12,0.06
10-10 20:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0291536950099999,0.12,0.06,-0.0192041446099999,-0.12,0.06
10-10 21:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0913201336099999,0.06,-0.03,-0.1161812267499999,0.06
10-10 22:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0986716225999999,0.05552865034,-0.03,-0.12,0.05552865034
10-10 23:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10611529064,0.04991172786,-0.03,-0.12,0.04991172786
10-11 00:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11031964347,0.0462939113599999,-0.03,-0.12,0.0462939113599999
10-11 01:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0463154654699999,0.12,0.04747845,-0.03,-0.12,0.04747845
10-11 02:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1047913633699999,0.04781049837,-0.03,-0.12,0.04781049837
10-11 03:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.10346094331,0.04823155221,-0.03,-0.12,0.04823155221
10-11 04:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0384979929499999,0.12,0.05144705443,-0.03,-0.12,0.05144705443
10-11 05:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.09336698532,0.0541376544899999,-0.03,-0.12,0.0541376544899999
10-11 06:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0242093965899999,0.12,0.06,-0.0292988454199999,-0.12,0.06
10-11 07:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08063619581,0.06,-0.0224614164699999,-0.12,0.06
10-11 08:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0775219644299999,0.06,-0.0216888716299999,-0.12,0.06
10-11 09:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0168427656299999,0.12,0.06,-0.0226459018699999,-0.12,0.06
10-11 10:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.07743349874,0.06,-0.0240723464899999,-0.12,0.06
10-11 11:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0193796218799999,0.12,0.06,-0.03,-0.1157632276799999,0.06
10-11 12:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0233308294499999,0.12,0.06,-0.03,-0.1195901886499999,0.06
10-11 13:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0846390901,0.06,-0.03,-0.1194021438,0.06
10-11 14:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.02668976137,0.12,0.06,-0.03,-0.1167039757699999,0.06
10-11 15:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.08846049514,0.06,-0.02487569784,-0.12,0.06
10-11 16:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0876438988699999,0.06,-0.03,-0.1099679796699999,0.06
10-11 17:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0265404713499999,0.12,0.06,-0.03,-0.1030554149499999,0.06
10-11 18:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0840604537799999,0.06,-0.03,-0.0994973373799999,0.06
10-11 19:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0225537762599999,0.12,0.06,-0.0119177122599999,-0.12,0.06
10-11 20:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.0838154412799999,0.06,-0.03,-0.1073763509199999,0.06
10-11 21:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0266433863699999,0.12,0.06,-0.0253976980299999,-0.12,0.06
10-11 22:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0347486965799999,0.12,0.05598328367,-0.03,-0.12,0.05598328367
10-11 23:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0454361829199999,0.12,0.04915050994,-0.03,-0.12,0.04915050994
10-12 00:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0557355006999999,0.12,0.0424903954399999,-0.03,-0.12,0.0424903954399999
10-12 01:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.0598816542399999,0.12,0.03972149424,-0.03,-0.12,0.03972149424
10-12 02:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.11932393236,0.0394585520599999,-0.03,-0.12,0.0394585520599999
10-12 03:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1188863500299999,0.03955772657,-0.03,-0.12,0.03955772657
10-12 04:00:00+02:00,-0.02625,-0.0525,-0.105,0.0,-0.03,0.06,0.1185175294499999,0.04022847606,-0.03,-0.12,0.04022847606
