LoadLevel,Node_1_Node_2_cac1,Node_1_Node_2_cac3,Node_1_Node_2_eac1,Node_1_Node_3_cac1,Node_1_Node_3_cac2,Node_1_Node_3_cac3,Node_1_Node_3_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1
01-04 10:00:00+01:00,-0.02625,-0.105,0.0,0.0086329358799999,-0.06,0.12,0.06,-0.03,0.02335827752,-0.12,0.06
01-04 11:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0969778913599999,0.06,-0.03,-0.06,-0.0453292955799999,0.06
01-04 12:00:00+01:00,-0.02625,-0.105,0.0,0.0058527788599999,-0.06,0.12,0.06,-0.03,-0.06,-0.0495978623699999,0.06
01-04 13:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0950631601099999,0.06,-0.03,-0.06,-0.0505863125799999,0.06
01-04 14:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0348632273299999,0.06,-0.03,0.0116455284199999,-0.12,0.06
01-04 15:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.03363107185,0.06,-0.03,0.01937504402,-0.12,0.06
01-04 16:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0309786881599999,0.06,-0.03,0.0374905501499999,-0.12,0.06
01-04 17:00:00+01:00,-0.02625,-0.105,0.0,0.0008791451899999,-0.06,0.12,0.06,-0.03,-0.06,-0.0039252215799999,0.06
01-04 18:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02664004231,0.12,0.06,-0.03,0.05620294015,-0.12,0.06
01-04 19:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0351609233799999,0.06,-0.03,0.05289854938,-0.12,0.06
01-04 20:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0245237992,0.12,0.06,-0.03,-0.06,-0.00967664122,0.06
01-04 21:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0247043802999999,0.12,0.06,-0.03,-0.06,-0.0126736782899999,0.06
01-04 22:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.03544729329,0.06,-0.03,0.0440634389099999,-0.12,0.06
01-04 23:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02565517685,0.12,0.06,-0.03,-0.06,-0.0161198351799999,0.06
01-05 00:00:00+01:00,-0.02625,-0.105,0.0,0.0004751712399999,-0.06,0.12,0.06,-0.03,0.0472804851099999,-0.12,0.06
01-05 01:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0897934026099999,0.06,-0.03,-0.06,-0.0118723605999999,0.06
01-05 02:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0901719917799999,0.06,-0.03,-0.06,-0.0115099431999999,0.06
01-05 03:00:00+01:00,-0.02625,-0.105,0.0,0.0004887964999999,-0.06,0.12,0.06,-0.03,0.04969118001,-0.12,0.06
01-05 04:00:00+01:00,-0.02625,-0.105,0.0,0.0001146464999999,-0.06,0.12,0.06,-0.03,-0.06,-0.0074103927099999,0.06
01-05 05:00:00+01:00,-0.02625,-0.105,0.0,-0.0005120957199999,-0.06,0.12,0.06,-0.03,-0.06,-0.0023515510999999,0.06
01-05 06:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03363387431,0.12,0.06,0.03,0.00476760248,-0.12,0.06
01-05 07:00:00+01:00,-0.02625,-0.105,0.0,-0.0060690247,-0.06,0.12,0.06,-0.0210895097699999,0.06,-0.12,0.06
01-05 08:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03753945468,0.12,0.06,-0.03,-0.06,0.0081216493499999,0.06
01-05 09:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.02227304685,0.06,-0.03,0.0580457716599999,-0.12,0.06
01-05 10:00:00+01:00,-0.02625,-0.105,0.0,-0.0085010594,-0.06,0.12,0.06,-0.03,-0.06,-0.0171549027899999,0.06
01-05 11:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03925534843,0.12,0.06,-0.03,-0.06,-0.02576691111,0.06
01-05 12:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0201479640699999,0.06,-0.03,-0.06,-0.0304243635999999,0.06
01-05 13:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03960141093,0.12,0.06,-0.03,-0.06,-0.03294220398,0.06
01-05 14:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0213940922599999,0.06,-0.03,0.0275316737599999,-0.12,0.06
01-05 15:00:00+01:00,-0.02625,-0.105,0.0,-0.0089249312099999,-0.06,0.12,0.06,-0.03,-0.06,-0.02679720244,0.06
01-05 16:00:00+01:00,-0.02625,-0.105,0.0,-0.01031888607,-0.06,0.12,0.06,-0.03,-0.06,-0.0099792312099999,0.06
01-05 17:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.07983668421,0.06,-0.03,-0.06,0.0087631397499999,0.06
01-05 18:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0388119470399999,0.12,0.06,-0.03,-0.06,0.0108994408599999,0.06
01-05 19:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0232624905999999,0.06,-0.0225953834799999,0.06,-0.12,0.06
01-05 20:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0353709358,0.12,0.06,0.03,0.00317731828,-0.12,0.06
01-05 21:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03307319804,0.12,0.06,-0.03,-0.06,-0.0036864802299999,0.06
01-05 22:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.09065789916,0.06,-0.03,-0.06,-0.0112388716899999,0.06
01-05 23:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.09541730886,0.06,-0.03,-0.06,-0.0166820382799999,0.06
01-06 00:00:00+01:00,-0.02625,-0.105,0.0,0.0067450079699999,-0.06,0.12,0.06,-0.03,-0.06,-0.0180760768599999,0.06
01-06 01:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.04025823476,0.06,-0.03,-0.06,-0.02109128431,0.06
01-06 02:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.01801007238,0.12,0.06,-0.03,-0.06,-0.0212019685299999,0.06
01-06 03:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0163135322,0.12,0.06,-0.03,-0.06,-0.0198786945699999,0.06
01-06 04:00:00+01:00,-0.02625,-0.105,0.0,0.01547107673,-0.06,0.12,0.06,-0.03,0.04639063291,-0.12,0.06
01-06 05:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.1057228003899999,0.06,-0.03,0.05675145001,-0.12,0.06
01-06 06:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0460137615499999,0.06,-0.03,0.05900685335,-0.12,0.06
01-06 07:00:00+01:00,-0.02625,-0.105,0.0,0.01448465619,-0.06,0.12,0.06,-0.03,0.05497398023,-0.12,0.06
01-06 08:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.1021481865499999,0.06,-0.03,0.05087977596,-0.12,0.06
01-06 09:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.09925443207,0.06,-0.03,-0.06,-0.0153373918599999,0.06
01-06 10:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02536213935,0.12,0.06,-0.03,-0.06,-0.02369677434,0.06
01-06 11:00:00+01:00,-0.02625,-0.105,0.0,0.0009989905499999,-0.06,0.12,0.06,-0.03,0.03165651492,-0.12,0.06
01-06 12:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0896984919,0.06,-0.03,-0.06,-0.03107029242,0.06
01-06 13:00:00+01:00,-0.02625,-0.105,0.0,0.0002457633199999,-0.06,0.12,0.06,-0.03,0.02606110667,-0.12,0.06
01-06 14:00:00+01:00,-0.02625,-0.105,0.0,0.0009945084199999,-0.06,0.12,0.06,-0.03,0.02566839124,-0.12,0.06
01-06 15:00:00+01:00,-0.02625,-0.105,0.0,0.0002432146699999,-0.06,0.12,0.06,-0.03,0.03072246342,-0.12,0.06
01-06 16:00:00+01:00,-0.02625,-0.105,0.0,-0.0012138281999999,-0.06,0.12,0.06,-0.03,0.0459749923199999,-0.12,0.06
01-06 17:00:00+01:00,-0.02625,-0.105,0.0,-0.004156209,-0.06,0.12,0.06,-0.03,-0.06,0.00584246863,0.06
01-06 18:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.08685096108,0.06,-0.03,-0.06,0.0078542936,0.06
01-06 19:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.08903218252,0.06,-0.03,-0.06,0.0045388643,0.06
01-06 20:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.09232676154,0.06,-0.03,-0.06,-0.00103815556,0.06
01-06 21:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0348297579599999,0.06,-0.03,-0.06,-0.0089406610299999,0.06
01-06 22:00:00+01:00,-0.02625,-0.105,0.0,0.0059534834199999,-0.06,0.12,0.06,-0.03,-0.06,-0.0137969199499999,0.06
01-06 23:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0971212101999999,0.06,-0.03,0.04368838042,-0.12,0.06
01-07 00:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02299193233,0.12,0.06,-0.03,0.0449865275,-0.12,0.06
01-07 01:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.03591842737,0.06,-0.03,-0.06,-0.01361793676,0.06
01-07 02:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02581832033,0.12,0.06,-0.03,0.04963318811,-0.12,0.06
01-07 03:00:00+01:00,-0.02625,-0.105,0.0,0.0018790120699999,-0.06,0.12,0.06,-0.03,0.05496485117,-0.12,0.06
01-07 04:00:00+01:00,-0.02625,-0.105,0.0,0.0003320944699999,-0.06,0.12,0.06,-0.03,-0.06,0.00461479142,0.06
01-07 05:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0293841626399999,0.06,-0.03,-0.06,0.01591201446,0.06
01-07 06:00:00+01:00,-0.02625,-0.105,0.0,-0.0005518691799999,-0.06,0.12,0.06,0.03,0.0174421435799999,-0.12,0.06
01-07 07:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0300935589799999,0.12,0.06,0.03,0.01162288618,-0.12,0.06
01-07 08:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0306756709799999,0.12,0.06,-0.02492530841,0.06,-0.12,0.06
01-07 09:00:00+01:00,-0.02625,-0.105,0.0,-0.00303564433,-0.06,0.12,0.06,-0.03,0.058826174,-0.12,0.06
01-07 10:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.02395332953,0.06,-0.03,0.0508931777299999,-0.12,0.06
01-07 11:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0221800852,0.06,-0.03,0.04240916472,-0.12,0.06
01-07 12:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0380780642199999,0.12,0.06,-0.03,0.0369521873999999,-0.12,0.06
01-07 13:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03792116933,0.12,0.06,-0.03,0.03252539667,-0.12,0.06
01-07 14:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0379432624999999,0.12,0.06,-0.03,0.0327506064399999,-0.12,0.06
01-07 15:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0381177437499999,0.12,0.06,-0.03,-0.06,-0.02217726156,0.06
01-07 16:00:00+01:00,-0.02625,-0.105,0.0,-0.00894117105,-0.06,0.12,0.06,-0.03,-0.06,-0.00757015887,0.06
01-07 17:00:00+01:00,-0.02625,-0.105,0.0,-0.01036820122,-0.06,0.12,0.06,-0.03,-0.06,0.01079947837,0.06
01-07 18:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0384887569,0.12,0.06,0.03,0.01203429607,-0.12,0.06
01-07 19:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0373336495,0.12,0.06,-0.03,-0.06,0.01066446289,0.06
01-07 20:00:00+01:00,-0.02625,-0.105,0.0,-0.00637670403,-0.06,0.12,0.06,-0.03,-0.06,0.00677918117,0.06
01-07 21:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.08377540338,0.06,-0.0276850621599999,0.06,-0.12,0.06
01-07 22:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0346474687499999,0.12,0.06,-0.03,0.0565942263199999,-0.12,0.06
01-07 23:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0329986402999999,0.12,0.06,-0.03,0.05471030402,-0.12,0.06
01-08 00:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.02644362947,0.06,-0.03,0.05486012267,-0.12,0.06
01-08 01:00:00+01:00,-0.02625,-0.105,0.0,-0.00093621614,-0.06,0.12,0.06,-0.03,-0.06,-0.0065264782699999,0.06
01-08 02:00:00+01:00,-0.02625,-0.105,0.0,0.0013192590499999,-0.06,0.12,0.06,-0.03,0.052748879,-0.12,0.06
01-08 03:00:00+01:00,-0.02625,-0.105,0.0,0.0025071569999999,-0.06,0.12,0.06,-0.03,0.05577095711,-0.12,0.06
01-08 04:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.026757418,0.12,0.06,-0.03,-0.06,0.00240547013,0.06
01-08 05:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.02572861595,0.12,0.06,-0.03,-0.06,0.01265026085,0.06
01-08 06:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0906521749,0.06,-0.03,-0.06,0.0190625774999999,0.06
01-08 07:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0335922382899999,0.12,0.06,-0.03,-0.06,0.0178949909899999,0.06
01-08 08:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0359346325699999,0.12,0.06,-0.03,-0.06,0.0118617343599999,0.06
01-08 09:00:00+01:00,-0.02625,-0.105,0.0,-0.0065247180499999,-0.06,0.12,0.06,-0.03,-0.06,0.00118086061,0.06
01-08 10:00:00+01:00,-0.02625,-0.105,0.0,0.03,-0.06,0.0850863444499999,0.06,-0.03,0.04486758358,-0.12,0.06
01-08 11:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.03708846382,0.12,0.06,-0.03,0.03673159208,-0.12,0.06
01-08 12:00:00+01:00,-0.02625,-0.105,0.0,-0.03,0.06,0.0237495611799999,0.06,-0.03,-0.06,-0.0291404500399999,0.06
01-08 13:00:00+01:00,-0.02625,-0.105,0.0,-0.0046840700699999,-0.06,0.12,0.06,-0.03,0.0262234813699999,-0.12,0.06
01-08 14:00:00+01:00,-0.02625,-0.105,0.0,-0.03,-0.0332055803599999,0.12,0.06,-0.03,0.0252638898899999,-0.12,0.06
