,LoadLevel,mEUR
218,01-10 02:00:00+01:00,1051.562642349765
219,01-10 03:00:00+01:00,1051.562642349765
220,01-10 04:00:00+01:00,1051.562642349765
221,01-10 05:00:00+01:00,1051.562642349765
222,01-10 06:00:00+01:00,715445.8107303318
223,01-10 07:00:00+01:00,112235.38107424065
224,01-10 08:00:00+01:00,70901.8234497328
225,01-10 09:00:00+01:00,70901.8234497328
226,01-10 10:00:00+01:00,70901.8234497328
227,01-10 11:00:00+01:00,388650.9742071997
228,01-10 12:00:00+01:00,388650.9742071997
229,01-10 13:00:00+01:00,388650.9742071997
230,01-10 14:00:00+01:00,112235.38107424065
231,01-10 15:00:00+01:00,112235.38107424065
232,01-10 16:00:00+01:00,112235.38107424065
233,01-10 17:00:00+01:00,112235.38107424065
234,01-10 18:00:00+01:00,112235.38107424065
235,01-10 19:00:00+01:00,112235.38107424065
236,01-10 20:00:00+01:00,1561283.0123931868
237,01-10 21:00:00+01:00,1561283.0123931868
238,01-10 22:00:00+01:00,1561283.0123931868
239,01-10 23:00:00+01:00,715445.8107303318
240,01-11 00:00:00+01:00,1051.562642349765
241,01-11 01:00:00+01:00,1051.562642349765
242,01-11 02:00:00+01:00,1051.562642349765
243,01-11 03:00:00+01:00,1051.562642349765
244,01-11 04:00:00+01:00,1051.562642349765
245,01-11 05:00:00+01:00,715445.8107303318
246,01-11 06:00:00+01:00,715445.8107303318
247,01-11 07:00:00+01:00,68708.88063148357
248,01-11 08:00:00+01:00,154693.72594330795
249,01-11 09:00:00+01:00,71404.70789656929
250,01-11 10:00:00+01:00,71404.70789656929
251,01-11 11:00:00+01:00,178100.5202370064
252,01-11 12:00:00+01:00,178100.5202370064
253,01-11 13:00:00+01:00,178100.5202370064
254,01-11 14:00:00+01:00,78723.60923924591
255,01-11 15:00:00+01:00,78723.60923924591
256,01-11 16:00:00+01:00,71404.70789656929
257,01-11 17:00:00+01:00,154693.72594330795
258,01-11 18:00:00+01:00,112235.38107424065
259,01-11 19:00:00+01:00,112235.38107424065
260,01-11 20:00:00+01:00,1561283.0123931868
261,01-11 21:00:00+01:00,1561283.0123931868
262,01-11 22:00:00+01:00,1561283.0123931868
263,01-11 23:00:00+01:00,1561283.0123931868
264,01-12 00:00:00+01:00,1051.562642349765
265,01-12 01:00:00+01:00,1051.562642349765
266,01-12 02:00:00+01:00,1051.562642349765
267,01-12 03:00:00+01:00,1051.562642349765
268,01-12 04:00:00+01:00,1051.562642349765
269,01-12 05:00:00+01:00,1051.562642349765
270,01-12 06:00:00+01:00,1051.562642349765
271,01-12 07:00:00+01:00,112235.38107424065
272,01-12 08:00:00+01:00,112235.38107424065
273,01-12 09:00:00+01:00,112235.38107424065
274,01-12 10:00:00+01:00,112235.38107424065
275,01-12 11:00:00+01:00,1561283.0123931868
276,01-12 12:00:00+01:00,1561283.0123931868
277,01-12 13:00:00+01:00,1561283.0123931868
278,01-12 14:00:00+01:00,1561283.0123931868
279,01-12 15:00:00+01:00,112235.38107424065
280,01-12 16:00:00+01:00,112235.38107424065
281,01-12 17:00:00+01:00,112235.38107424065
282,01-12 18:00:00+01:00,112235.38107424065
283,01-12 19:00:00+01:00,715445.8107303318
284,01-12 20:00:00+01:00,715445.8107303318
285,01-12 21:00:00+01:00,1051.562642349765
286,01-12 22:00:00+01:00,1051.562642349765
287,01-12 23:00:00+01:00,1051.562642349765
288,01-13 00:00:00+01:00,1051.562642349765
289,01-13 01:00:00+01:00,1051.562642349765
290,01-13 02:00:00+01:00,1051.562642349765
291,01-13 03:00:00+01:00,1051.562642349765
292,01-13 04:00:00+01:00,1051.562642349765
293,01-13 05:00:00+01:00,1051.562642349765
294,01-13 06:00:00+01:00,1051.562642349765
295,01-13 07:00:00+01:00,7644.041337475619
296,01-13 08:00:00+01:00,7644.041337475619
297,01-13 09:00:00+01:00,7644.041337475619
298,01-13 10:00:00+01:00,7644.041337475619
299,01-13 11:00:00+01:00,1561283.0123931868
300,01-13 12:00:00+01:00,1561283.0123931868
301,01-13 13:00:00+01:00,1561283.0123931868
302,01-13 14:00:00+01:00,112235.38107424065
303,01-13 15:00:00+01:00,112235.38107424065
304,01-13 16:00:00+01:00,112235.38107424065
305,01-13 17:00:00+01:00,112235.38107424065
306,01-13 18:00:00+01:00,112235.38107424065
307,01-13 19:00:00+01:00,1561283.0123931868
308,01-13 20:00:00+01:00,1561283.0123931868
309,01-13 21:00:00+01:00,1051.562642349765
310,01-13 22:00:00+01:00,1051.562642349765
311,01-13 23:00:00+01:00,1051.562642349765
312,01-14 00:00:00+01:00,1051.562642349765
313,01-14 01:00:00+01:00,1051.562642349765
314,01-14 02:00:00+01:00,1051.562642349765
315,01-14 03:00:00+01:00,1051.562642349765
316,01-14 04:00:00+01:00,1051.562642349765
317,01-14 05:00:00+01:00,1051.562642349765
318,01-14 06:00:00+01:00,715445.8107303318
319,01-14 07:00:00+01:00,70901.8234497328
320,01-14 08:00:00+01:00,154693.72594330795
321,01-14 09:00:00+01:00,154693.72594330795
322,01-14 10:00:00+01:00,154693.72594330795
323,01-14 11:00:00+01:00,78723.60923924591
324,01-14 12:00:00+01:00,78723.60923924591
325,01-14 13:00:00+01:00,78723.60923924591
326,01-14 14:00:00+01:00,78723.60923924591
327,01-14 15:00:00+01:00,78723.60923924591
328,01-14 16:00:00+01:00,154693.72594330795
329,01-14 17:00:00+01:00,388650.9742071997
330,01-14 18:00:00+01:00,388650.9742071997
331,01-14 19:00:00+01:00,112235.38107424065
332,01-14 20:00:00+01:00,1561283.0123931868
333,01-14 21:00:00+01:00,1561283.0123931868
334,01-14 22:00:00+01:00,715445.8107303318
335,01-14 23:00:00+01:00,715445.8107303318
336,01-15 00:00:00+01:00,1051.562642349765
337,01-15 01:00:00+01:00,1051.562642349765
338,01-15 02:00:00+01:00,1051.562642349765
339,01-15 03:00:00+01:00,1051.562642349765
340,01-15 04:00:00+01:00,1051.562642349765
341,01-15 05:00:00+01:00,715445.8107303318
342,01-15 06:00:00+01:00,715445.8107303318
343,01-15 07:00:00+01:00,70901.8234497328
344,01-15 08:00:00+01:00,154693.72594330795
345,01-15 09:00:00+01:00,154693.72594330795
346,01-15 10:00:00+01:00,154693.72594330795
347,01-15 11:00:00+01:00,78723.60923924591
348,01-15 12:00:00+01:00,78723.60923924591
349,01-15 13:00:00+01:00,78723.60923924591
350,01-15 14:00:00+01:00,78723.60923924591
351,01-15 15:00:00+01:00,154693.72594330795
352,01-15 16:00:00+01:00,154693.72594330795
353,01-15 17:00:00+01:00,154693.72594330795
354,01-15 18:00:00+01:00,112235.38107424065
355,01-15 19:00:00+01:00,178100.5202370064
356,01-15 20:00:00+01:00,112235.38107424065
357,01-15 21:00:00+01:00,112235.38107424065
358,01-15 22:00:00+01:00,1561283.0123931868
359,01-15 23:00:00+01:00,715445.8107303318
360,01-16 00:00:00+01:00,1051.562642349765
361,01-16 01:00:00+01:00,1051.562642349765
362,01-16 02:00:00+01:00,1051.562642349765
363,01-16 03:00:00+01:00,1051.562642349765
364,01-16 04:00:00+01:00,1051.562642349765
365,01-16 05:00:00+01:00,715445.8107303318
366,01-16 06:00:00+01:00,1561283.0123931868
367,01-16 07:00:00+01:00,68708.88063148357
368,01-16 08:00:00+01:00,154693.72594330795
369,01-16 09:00:00+01:00,154693.72594330795
370,01-16 10:00:00+01:00,154693.72594330795
371,01-16 11:00:00+01:00,154693.72594330795
372,01-16 12:00:00+01:00,78723.60923924591
373,01-16 13:00:00+01:00,78723.60923924591
374,01-16 14:00:00+01:00,178100.5202370064
375,01-16 15:00:00+01:00,71404.70789656929
376,01-16 16:00:00+01:00,154693.72594330795
377,01-16 17:00:00+01:00,154693.72594330795
378,01-16 18:00:00+01:00,112235.38107424065
379,01-16 19:00:00+01:00,178100.5202370064
380,01-16 20:00:00+01:00,112235.38107424065
381,01-16 21:00:00+01:00,1561283.0123931868
382,01-16 22:00:00+01:00,1561283.0123931868
383,01-16 23:00:00+01:00,1561283.0123931868
384,01-17 00:00:00+01:00,1051.562642349765
385,01-17 01:00:00+01:00,1051.562642349765
386,01-17 02:00:00+01:00,1051.562642349765
387,01-17 03:00:00+01:00,1051.562642349765
388,01-17 04:00:00+01:00,1051.562642349765
389,01-17 05:00:00+01:00,715445.8107303318
390,01-17 06:00:00+01:00,1561283.0123931868
391,01-17 07:00:00+01:00,68708.88063148357
392,01-17 08:00:00+01:00,154693.72594330795
393,01-17 09:00:00+01:00,154693.72594330795
394,01-17 10:00:00+01:00,154693.72594330795
395,01-17 11:00:00+01:00,154693.72594330795
396,01-17 12:00:00+01:00,154693.72594330795
397,01-17 13:00:00+01:00,154693.72594330795
398,01-17 14:00:00+01:00,71404.70789656929
399,01-17 15:00:00+01:00,71404.70789656929
400,01-17 16:00:00+01:00,154693.72594330795
401,01-17 17:00:00+01:00,154693.72594330795
402,01-17 18:00:00+01:00,112235.38107424065
403,01-17 19:00:00+01:00,178100.5202370064
404,01-17 20:00:00+01:00,112235.38107424065
405,01-17 21:00:00+01:00,21235.59823133599
406,01-17 22:00:00+01:00,112235.38107424065
407,01-17 23:00:00+01:00,1561283.0123931868
408,01-18 00:00:00+01:00,7644.041337475619
409,01-18 01:00:00+01:00,1051.562642349765
410,01-18 02:00:00+01:00,1051.562642349765
411,01-18 03:00:00+01:00,1051.562642349765
412,01-18 04:00:00+01:00,1051.562642349765
413,01-18 05:00:00+01:00,1051.562642349765
414,01-18 06:00:00+01:00,1561283.0123931868
415,01-18 07:00:00+01:00,68708.88063148357
416,01-18 08:00:00+01:00,154693.72594330795
417,01-18 09:00:00+01:00,154693.72594330795
418,01-18 10:00:00+01:00,154693.72594330795
419,01-18 11:00:00+01:00,154693.72594330795
420,01-18 12:00:00+01:00,112235.38107424065
421,01-18 13:00:00+01:00,112235.38107424065
422,01-18 14:00:00+01:00,112235.38107424065
423,01-18 15:00:00+01:00,112235.38107424065
424,01-18 16:00:00+01:00,154693.72594330795
425,01-18 17:00:00+01:00,68708.88063148357
426,01-18 18:00:00+01:00,112235.38107424065
427,01-18 19:00:00+01:00,112235.38107424065
428,01-18 20:00:00+01:00,112235.38107424065
429,01-18 21:00:00+01:00,1561283.0123931868
430,01-18 22:00:00+01:00,1561283.0123931868
431,01-18 23:00:00+01:00,1051.562642349765
432,01-19 00:00:00+01:00,1051.562642349765
433,01-19 01:00:00+01:00,7644.041337475619
434,01-19 02:00:00+01:00,7644.041337475619
435,01-19 03:00:00+01:00,1051.562642349765
436,01-19 04:00:00+01:00,1051.562642349765
437,01-19 05:00:00+01:00,1051.562642349765
438,01-19 06:00:00+01:00,1051.562642349765
439,01-19 07:00:00+01:00,112235.38107424065
440,01-19 08:00:00+01:00,112235.38107424065
441,01-19 09:00:00+01:00,112235.38107424065
442,01-19 10:00:00+01:00,112235.38107424065
443,01-19 11:00:00+01:00,112235.38107424065
444,01-19 12:00:00+01:00,112235.38107424065
445,01-19 13:00:00+01:00,112235.38107424065
446,01-19 14:00:00+01:00,112235.38107424065
447,01-19 15:00:00+01:00,112235.38107424065
448,01-19 16:00:00+01:00,112235.38107424065
449,01-19 17:00:00+01:00,112235.38107424065
450,01-19 18:00:00+01:00,112235.38107424065
