Period,Scenario,LoadLevel,Variable,Value,Dataset,Execution
2030,sc01,2030-01-02T19:00:00+01:00,Node_1,(0.03081367356+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T19:00:00+01:00,Node_2,(0.05036968828+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T19:00:00+01:00,Node_3,(0.09058000236+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T20:00:00+01:00,Node_1,(0.02920879473+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T20:00:00+01:00,Node_2,(0.050795166960000006+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T20:00:00+01:00,Node_3,(0.08820386122+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T21:00:00+01:00,Node_1,(0.026640988600000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T21:00:00+01:00,Node_2,(0.05082555777+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T21:00:00+01:00,Node_3,(0.08392342745+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T22:00:00+01:00,Node_1,(0.02343123095+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T22:00:00+01:00,Node_2,(0.04868023813+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T22:00:00+01:00,Node_3,(0.07961087704000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T23:00:00+01:00,Node_1,(0.020221473270000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T23:00:00+01:00,Node_2,(0.044966063380000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-02T23:00:00+01:00,Node_3,(0.07800506355+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T00:00:00+01:00,Node_1,(0.021075268820000003+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T00:00:00+01:00,Node_2,(0.04092563447+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T00:00:00+01:00,Node_3,(0.07769596137000001+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T01:00:00+01:00,Node_1,(0.019817043819999998+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T01:00:00+01:00,Node_2,(0.037153373680000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T01:00:00+01:00,Node_3,(0.07711352231+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T02:00:00+01:00,Node_1,(0.018873375050000002+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T02:00:00+01:00,Node_2,(0.03411299785+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T02:00:00+01:00,Node_3,(0.07804360478+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T03:00:00+01:00,Node_1,(0.01855881882+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T03:00:00+01:00,Node_2,(0.032666002140000004+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T03:00:00+01:00,Node_3,(0.08036898302+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T04:00:00+01:00,Node_1,(0.01855881882+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T04:00:00+01:00,Node_2,(0.03197429519+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T04:00:00+01:00,Node_3,(0.08586630156+0j),ElectricityDemand,Network_Full_Generation_Full
2030,sc01,2030-01-03T05:00:00+01:00,Node_1,(0.018873375050000002+0j),ElectricityDemand,Network_Full_Generation_Full
