Period,Scenario,LoadLevel,Unit,MW
2030,sc01,01-25 20:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-25 20:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-25 20:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-25 20:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-25 20:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-25 20:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-25 23:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-25 23:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-25 23:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-25 23:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-25 23:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-25 23:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-26 01:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-26 01:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-26 01:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-26 01:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-26 01:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-26 01:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-26 05:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-26 05:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-26 05:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-26 05:00:00+01:00,Wind_Gijon,308.8986044
2030,sc01,01-26 05:00:00+01:00,Wind_Acoruna,6.699279866999988
2030,sc01,01-26 05:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-27 09:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-27 09:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-27 09:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-27 09:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-27 09:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-27 09:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-27 11:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-27 11:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-27 11:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-27 11:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-27 11:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-27 11:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-28 04:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-28 04:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-28 04:00:00+01:00,Wind_Bilbo,323.1641219
2030,sc01,01-28 04:00:00+01:00,Wind_Gijon,322.31099127
2030,sc01,01-28 04:00:00+01:00,Wind_Acoruna,62.11127287000001
2030,sc01,01-28 04:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-28 10:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-28 10:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-28 10:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-28 10:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-28 10:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-28 10:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-28 22:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-28 22:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-28 22:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-28 22:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-28 22:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-28 22:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-30 04:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-30 04:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-30 04:00:00+01:00,Wind_Bilbo,116.20569366599993
2030,sc01,01-30 04:00:00+01:00,Wind_Gijon,0.0
2030,sc01,01-30 04:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-30 04:00:00+01:00,PV_Sevilla,0.0
2030,sc01,01-31 00:00:00+01:00,PV_Malaga,0.0
2030,sc01,01-31 00:00:00+01:00,PV_Cadiz,0.0
2030,sc01,01-31 00:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,01-31 00:00:00+01:00,Wind_Gijon,282.9629211830001
2030,sc01,01-31 00:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,01-31 00:00:00+01:00,PV_Sevilla,0.0
2030,sc01,02-01 00:00:00+01:00,PV_Malaga,0.0
2030,sc01,02-01 00:00:00+01:00,PV_Cadiz,0.0
2030,sc01,02-01 00:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,02-01 00:00:00+01:00,Wind_Gijon,79.57482258300041
2030,sc01,02-01 00:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,02-01 00:00:00+01:00,PV_Sevilla,0.0
2030,sc01,02-01 13:00:00+01:00,PV_Malaga,0.0
2030,sc01,02-01 13:00:00+01:00,PV_Cadiz,0.0
2030,sc01,02-01 13:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,02-01 13:00:00+01:00,Wind_Gijon,0.0
2030,sc01,02-01 13:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,02-01 13:00:00+01:00,PV_Sevilla,0.0
2030,sc01,02-01 18:00:00+01:00,PV_Malaga,0.0
2030,sc01,02-01 18:00:00+01:00,PV_Cadiz,0.0
2030,sc01,02-01 18:00:00+01:00,Wind_Bilbo,0.0
2030,sc01,02-01 18:00:00+01:00,Wind_Gijon,0.0
2030,sc01,02-01 18:00:00+01:00,Wind_Acoruna,0.0
2030,sc01,02-01 18:00:00+01:00,PV_Sevilla,0.0
2030,sc01,02-02 11:00:00+01:00,PV_Malaga,0.0
2030,sc01,02-02 11:00:00+01:00,PV_Cadiz,0.0
2030,sc01,02-02 11:00:00+01:00,Wind_Bilbo,0.0
