LoadLevel,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_1_Node_6_eac1,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_3_eac1,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_2_Node_6_eac1,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_4_eac1,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_3_Node_6_eac1,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_5_eac1,Node_4_Node_6_cac1,Node_4_Node_6_cac2,Node_4_Node_6_cac3,Node_4_Node_6_eac1,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_4_Node_9_eac1,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_7_eac1,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_6_Node_8_eac1,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_7_Node_8_eac1,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_eac1
01-02 06:00:00+01:00,-0.3,0.6,0.6973955181300002,-0.3,0.3,0.6,0.7652725767909085,0.3,-0.3,-0.6,-1.2,0.0427285264090914,0.3,0.6,1.2,-0.3,-0.3,0.6,0.0022537430581814,-0.1215143157272727,0.3,0.6,-0.6856011032,0.0,0.3,0.6,1.2,0.0963642632045454,-0.3,-0.6,-0.1536957578045452,0.3,0.3,0.6,1.2,0.0500000000000003,-0.3,-0.0042385638454552,-1.2,0.3,0.3,0.2606671263500004,1.2,0.3,0.3,0.6,-0.0569713685454546
01-02 07:00:00+01:00,0.3,-0.4208784372699993,1.2,-0.3,0.3,0.1674038007363631,1.2,0.3,-0.3,-0.6,-1.2,0.0143016607636369,0.3,0.6,1.2,-0.3,-0.3,-0.5589130628627285,1.2,-0.140465559490909,0.3,0.6,-0.6577054615,0.0,0.3,0.6,1.2,0.0821508303818182,-0.3,-0.6,-0.185975061281818,0.3,0.3,0.6,1.2,0.0499999999999998,-0.3,0.0466305853418181,-1.2,0.3,0.3,0.6,0.8494439423,0.3,0.3,0.6,-0.0190688810181818
01-02 08:00:00+01:00,-0.3,0.6,0.5921558760700008,-0.3,-0.1849564461272729,0.6,1.2,0.3,-0.3,-0.6,-1.2,0.0407703843272727,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.1940989540145452,-0.1228197437818183,0.3,0.6,-0.9278139382,0.3,0.3,0.6,1.2,0.0953851921636363,-0.3,0.3509713715363635,-1.2,0.3,0.3,0.6,1.2,0.0500000000000003,-0.3,-0.0387380244763641,-1.2,0.3,0.0013891409000005,0.6,1.2,0.3,0.3,0.6,-0.0543605124363635
01-02 09:00:00+01:00,0.3,-0.6,0.97063375691,-0.3,0.3,0.6,0.6809320422,0.3,-0.3,-0.6,-1.2,0.0560996484,0.3,0.6,1.2,-0.3,-0.3,-0.6,1.17830422503,-0.1126002344000003,0.3,0.6,-0.8998316905999999,0.3,0.3,0.6,1.2,0.1030498241999999,-0.3,0.2966696600999997,-1.2,0.3,0.3,0.6,1.2,0.0500000000000003,0.1426311170399998,-0.6,-1.2,0.3,0.3,0.4013298711000003,1.2,0.3,0.3,0.6,-0.0747995311999998
01-02 10:00:00+01:00,-0.3,-0.6,0.8346765160600003,0.3,0.0493638543999992,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999994,-0.2302783554300012,0.6,1.2,-0.3,-0.3,0.3763028522400005,1.2,-0.3000000000000002,0.3,0.6,-0.4537924258285712,-0.1285714285714286,0.3,0.6,1.2,-0.0374999999999999,0.1778280685699986,-0.6,-1.2,0.3,0.3,0.6,1.2,0.1021393576000002,-0.3,0.0980612954999999,-1.2,0.3,0.3,0.6,1.2,0.2217909636000002,0.3,0.6,0.3
01-02 11:00:00+01:00,0.3,-0.6,0.231893949774,0.3,0.3,0.3579479457999991,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999994,0.1465059367599994,-0.6,1.2,-0.3,0.3,0.6,1.2,-0.3000000000000002,0.3,0.6,-0.8865479457999998,0.3,-0.3,0.309685844316,1.2,-0.0374999999999999,-0.3,-0.6,-0.6480999979560007,0.3,0.3,0.6,1.2,0.0875220090400001,-0.3,-0.6,-0.5241262330500001,0.3,0.3,0.6,1.2,0.2437169864400002,0.3,0.6,0.3
01-02 12:00:00+01:00,-0.3,0.6,-0.3812650516989999,0.3,0.0841875921999993,0.6,1.2,0.3,-0.3,-0.6,-1.2,-0.2249999999999994,0.1615855242399997,-0.6,1.2,-0.3,0.3,0.6,1.2,-0.3000000000000002,0.3,0.6,-0.4678161636285712,-0.1285714285714286,-0.3,0.6,0.898450132989,-0.0374999999999999,0.2946147115509999,-0.6,-1.2,0.3,0.3,0.6,1.2,0.0820420679600003,-0.3,-0.6,-0.5329611225700002,0.3,0.3,0.6,1.2,0.2519368980600002,0.3,0.6,0.3
01-02 13:00:00+01:00,-0.3,-0.6,0.8091338082319999,0.3,0.3,0.6,1.0127139755999994,0.3,-0.3,-0.6,-1.2,-0.2249999999999994,-0.3,0.6,0.4868663048700001,-0.3,0.3,0.6,1.2,-0.3000000000000002,0.3,0.6,-0.4675425470285713,-0.1285714285714286,-0.3,0.6,0.9370735865879996,-0.0374999999999999,-0.3,-0.0191839890179997,-1.2,0.3,0.3,0.6,1.2,0.0875276707200002,-0.3,0.0752843825999995,-1.2,0.3,0.3,0.6,1.2,0.2437084939200003,0.3,0.6,0.3
01-02 14:00:00+01:00,-0.3,0.6,-0.3952365886979999,0.3,0.3,0.6,1.0554187125999992,0.3,-0.3,-0.6,-1.2,-0.2249999999999994,0.3,0.1242837799419991,1.2,-0.3,-0.3,0.4136713847580003,1.2,-0.3000000000000002,0.3,0.6,-0.4746472840285712,-0.1285714285714286,0.3,0.6,1.2,-0.0374999999999999,-0.3,-0.6,-0.6328516990580011,0.3,0.3,0.6,1.2,0.1018635479200003,-0.3,-0.6,-0.5036558476599997,0.3,0.3,0.6,1.2,0.22220467812,0.3,0.6,0.3
01-02 15:00:00+01:00,-0.3,-0.3578235573800002,1.2,-0.3,0.3,0.2235415868818179,1.2,0.3,-0.3,-0.6,-1.2,0.0527534426181819,0.3,0.6,1.2,-0.3,-0.3,0.6,0.1274217967163633,-0.1148310382545453,0.3,0.6,-0.9158950295,0.3,0.3,0.6,1.2,0.1013767213090909,-0.3,0.3251149944909091,-1.2,0.3,0.3,0.6,1.2,0.0500000000000003,-0.3,-0.1618042918309095,-1.2,0.3,0.3,0.4092229290000003,1.2,0.3,0.3,0.6,-0.070337923490909
