LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,PV_Cadiz,PV_Malaga,PV_Sevilla,Wind_Acoruna,Wind_Bilbo,Wind_Gijon,Node_1_Node_6_cac1,Node_1_Node_6_cac2,Node_1_Node_6_cac3,Node_2_Node_3_cac1,Node_2_Node_3_cac2,Node_2_Node_3_cac3,Node_2_Node_6_cac1,Node_2_Node_6_cac2,Node_2_Node_6_cac3,Node_3_Node_4_cac1,Node_3_Node_4_cac2,Node_3_Node_4_cac3,Node_3_Node_6_cac1,Node_3_Node_6_cac2,Node_3_Node_6_cac3,Node_4_Node_5_cac1,Node_4_Node_5_cac2,Node_4_Node_5_cac3,Node_4_Node_6_cac1,Node_4_Node_6_cac2,Node_4_Node_6_cac3,Node_4_Node_9_cac1,Node_4_Node_9_cac2,Node_4_Node_9_cac3,Node_6_Node_7_cac1,Node_6_Node_7_cac2,Node_6_Node_7_cac3,Node_6_Node_8_cac1,Node_6_Node_8_cac2,Node_6_Node_8_cac3,Node_7_Node_8_cac1,Node_7_Node_8_cac2,Node_7_Node_8_cac3,Node_8_Node_9_cac1,Node_8_Node_9_cac2,Node_8_Node_9_cac3
01-03 00:00:00+01:00,0.001120069996,0.268816799,0.04480279983,0.1792111993,0.268816799,0.08960559966,0.1120069996,0.01680104994,0.1120069996,0.0,0.0,0.0,0.1992,0.158,0.2876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 01:00:00+01:00,0.001016829175,0.244039002,0.04067316701,0.162692668,0.244039002,0.08134633401,0.1016829175,0.0152524376299999,0.1016829175,0.0,0.0,0.0,0.2004,0.1408,0.2968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 02:00:00+01:00,0.000933618888,0.2240685332,0.03734475554,0.1493790222,0.2240685332,0.07468951108,0.09336188885,0.01400428333,0.09336188885,0.0,0.0,0.0,0.2052,0.1152,0.3008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 03:00:00+01:00,0.000894016901,0.2145640563,0.03576067605,0.1430427042,0.2145640563,0.0715213520899999,0.08940169011,0.01341025352,0.08940169011,0.0,0.0,0.0,0.2,0.0936,0.2952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 04:00:00+01:00,0.000875085974,0.2100206338,0.03500343897,0.1400137559,0.2100206338,0.07000687794,0.08750859742,0.01312628961,0.08750859742,0.0,0.0,0.0,0.1812,0.0792,0.2888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 05:00:00+01:00,0.000879311839,0.2110348413,0.03517247354,0.1406898942,0.2110348413,0.07034494709,0.08793118386,0.01318967758,0.08793118386,0.0,0.0,0.0,0.1728,0.0744,0.2952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 06:00:00+01:00,0.000905958469,0.2174300326,0.0362383387699999,0.1449533551,0.2174300326,0.0724766775399999,0.09059584693,0.01358937704,0.09059584693,0.0,0.0,0.0,0.166,0.074,0.296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 07:00:00+01:00,0.00096668825,0.2320051800999999,0.03866753001,0.1546701201,0.2320051800999999,0.07733506003,0.09666882503,0.01450032376,0.09666882503,0.0016,0.0056,0.0016,0.1552,0.0776,0.29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 08:00:00+01:00,0.001025917799,0.2462202718,0.04103671197,0.1641468479,0.2462202718,0.08207342393,0.1025917799,0.01538876699,0.1025917799,0.0955999999999999,0.1144,0.1092,0.128,0.0812,0.296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
01-03 09:00:00+01:00,0.001122996323,0.2695191175,0.0449198529199999,0.1796794117,0.2695191175,0.0898397058399999,0.1122996323,0.01684494485,0.1122996323,0.1891999999999999,0.2032,0.202,0.0795999999999999,0.0832,0.2848,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
