LoadLevel,Node_1_Node_6_eac1,Node_2_Node_3_eac1,Node_2_Node_6_eac1,Node_3_Node_4_eac1,Node_3_Node_6_eac1,Node_4_Node_5_eac1,Node_4_Node_6_eac1,Node_4_Node_9_eac1,Node_6_Node_7_eac1,Node_6_Node_8_cac2,Node_6_Node_8_eac1,Node_7_Node_8_eac1,Node_8_Node_9_eac1
05-23 17:00:00+02:00,0.3,0.0424039191793479,0.000344376090648,0.1778362514285902,-0.0209723755292422,0.2276402597,-0.1268769387898001,-0.0746872425816096,0.0253393192702302,0.0731171039609204,0.0365585519804602,0.0076892110702302,0.1031373507816109
05-23 18:00:00+02:00,0.3,0.1034877239503033,0.0935993884696936,0.2122857562023255,0.0106557303379776,0.2312774245,-0.1246867998729701,-0.0484898180247042,0.0592561812266722,0.1090797752586879,0.0545398876293439,-0.0207094123033277,0.1284554115547042
05-23 19:00:00+02:00,0.3,0.1464297611785939,0.1404451417714062,0.2283043484536204,0.0204152139249735,0.2382611928,-0.1273788073397821,-0.0414188322065974,0.0702517633652283,0.1228062582609129,0.0614031291304564,-0.0286237336347716,0.1406943292065979
05-23 20:00:00+02:00,0.3,0.177880087087198,0.170083962412802,0.2469042127855971,0.0244492647316018,0.2560359505,-0.1359781844422959,-0.0438441869721069,0.0756065251817297,0.1317354671269188,0.0658677335634593,-0.0310751208182702,0.1505258329721069
05-23 21:00:00+02:00,0.3,0.178333318342391,0.174061284557609,0.2519968139718512,0.0268741972005432,0.2600053971,-0.1373423608319991,-0.0440031536961496,0.0767042931794497,0.1334802413577992,0.0667401206788998,-0.0316312889205502,0.1523387357961496
05-23 22:00:00+02:00,0.3,0.1515199999987184,0.1485583171812768,0.2355293767272262,0.0232788781214921,0.2442704709,-0.1297467018633967,-0.041841372909377,0.0721339248713399,0.1256887188453592,0.0628443594226796,-0.02964543802866,0.1436207358093788
05-23 23:00:00+02:00,0.3,0.1046075274598933,0.1148458013901025,0.2215254737264383,0.024260103863455,0.2281316992,-0.1202583431814328,-0.0384356817921288,0.0672764802200184,0.1170181214080724,0.0585090607040362,-0.0277783944499815,0.1334905564621271
05-24 00:00:00+02:00,0.3,0.0624100673688331,0.0846743732511615,0.2091364336758086,0.0252445484830244,0.2137745112,-0.1117768596851117,-0.0353775586390796,0.0629512004110112,0.1092884608120434,0.0546442304060215,-0.0261215126089888,0.1244502716590762
05-24 01:00:00+02:00,0.3,0.0229728980424947,0.0578675373674985,0.1994461351887431,0.0270919092237516,0.2018091218,-0.1043349025751504,-0.0325674985361064,0.0593091369300152,0.102697133224059,0.0513485666120294,-0.0247779971299847,0.1166546325961037
05-24 02:00:00+02:00,0.3,0.008681713653135,0.0476409136968576,0.1952389612184638,0.0274197523046712,0.1969380008,-0.1014595365330361,-0.0315315035485,0.0578418757089286,0.1000755023397143,0.0500377511698571,-0.0242156246010713,0.1135890038585001
