,Network_Existing_Generation_Full,Network_Line_In_Node_1_Node_2_cac1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0.023003514,0.023324811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0.022519916,0.022841767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0.021878734,0.022188943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0.02107917,0.021389377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.020024659,0.020334865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.019244516,0.019554722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0.018648566,0.01895877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.01847192,0.018782124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.018945339,0.019255544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.020713161,0.02102337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.023106301,0.023431235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0.023760444,0.0240849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0.023826542,0.024150647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0.023313382,0.023637139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0.022610042,0.022920252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0.021507944,0.021818153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0.020867559,0.021177766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0.020400658,0.020710866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0.019877889,0.020188095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0.019604731,0.019914937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0.019904533,0.020221067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0.020903612,0.021224403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0.022558692,0.022879299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0.023692942,0.024015146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0.024038272,0.024362109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.023578966,0.023903834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0.02221102,0.022521232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.020265626,0.020575835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0.019164504,0.019474711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.018272204,0.01858241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0.017625931,0.017936135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,0.017294414,0.017604619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,0.017887931,0.018198136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0.020061748,0.020371958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0.022619223,0.022944784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0.023388078,0.023713094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0.022760256,0.023083607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0.022025118,0.02234717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0.020490773,0.020800978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
