,Network_Existing_Generation_Full,Network_Line_In_N_101_N_102_cac1,Network_Line_In_N_101_N_103_cac1,Network_Line_In_N_101_N_105_cac1,Network_Line_In_N_102_N_104_cac1,Network_Line_In_N_102_N_106_cac1,Network_Line_In_N_103_N_109_cac1,Network_Line_In_N_103_N_124_cac1,Network_Line_In_N_104_N_109_cac1,Network_Line_In_N_105_N_110_cac1,Network_Line_In_N_106_N_108_cac1,Network_Line_In_N_106_N_110_cac1,Network_Line_In_N_108_N_109_cac1,Network_Line_In_N_108_N_110_cac1,Network_Line_In_N_109_N_111_cac1,Network_Line_In_N_110_N_111_cac1,Network_Line_In_N_111_N_113_cac1,Network_Line_In_N_111_N_114_cac1,Network_Line_In_N_112_N_123_cac1,Network_Line_In_N_113_N_123_cac1,Network_Line_In_N_114_N_116_cac1,Network_Line_In_N_115_N_116_cac1,Network_Line_In_N_115_N_121_cac1,Network_Line_In_N_115_N_121_cac2,Network_Line_In_N_115_N_124_cac1,Network_Line_In_N_116_N_117_cac1,Network_Line_In_N_116_N_119_cac1,Network_Line_In_N_117_N_118_cac1,Network_Line_In_N_117_N_122_cac1,Network_Line_In_N_118_N_121_cac1,Network_Line_In_N_118_N_121_cac2,Network_Line_In_N_119_N_120_cac1,Network_Line_In_N_119_N_120_cac2,Network_Line_In_N_120_N_123_cac2,Network_Line_In_N_121_N_122_cac1
38,0.024387259,0.024300853,0.024291582,0.024446763,0.024280732,0.02390193,0.02426395,0.0242231,0.024198469,0.023872279,0.023950314,0.023352928,0.0233437,0.02283112,0.023533233,0.023206439,0.021970976,0.024394546,0.023933625,0.023852507,0.024133226,0.023674555,0.023531806,0.022578487,0.023836939,0.023876367,0.02448752,0.024914606,0.024472307,0.023661505,0.023220154,0.023986055,0.024793036,0.02453785,0.02376884
39,0.024301426,0.023741134,0.023964085,0.02424175,0.024321312,0.0239207,0.024187375,0.024296386,0.024078827,0.023816325,0.02351952,0.023155913,0.023016823,0.023117056,0.023611806,0.023122203,0.02257604,0.02453719,0.023712285,0.023098713,0.024196167,0.023952164,0.022920653,0.022627141,0.023796486,0.023616374,0.024786327,0.024575502,0.02444282,0.023731109,0.023070525,0.024406143,0.023590108,0.024616327,0.023362065
40,0.027055267,0.026890064,0.026445134,0.026976462,0.027204627,0.02682841,0.027205981,0.02714593,0.0268788,0.026707215,0.026087096,0.025639012,0.025492553,0.025930563,0.026248312,0.026095964,0.025265375,0.02753358,0.026397405,0.026381101,0.026734602,0.026755247,0.025866898,0.024986062,0.0264062,0.026382472,0.027314663,0.02714868,0.027169324,0.026362158,0.02593159,0.026978306,0.024924807,0.02684724,0.025855618
41,0.031926468,0.031975906,0.03141888,0.031983472,0.032071672,0.031739604,0.032125458,0.031760022,0.031891927,0.03147919,0.031350076,0.030612763,0.03034452,0.030742189,0.031154003,0.030676771,0.02975118,0.032338247,0.031465903,0.03144761,0.031694744,0.031832192,0.030601222,0.029253554,0.031369835,0.031309657,0.03253797,0.032296453,0.032049656,0.031525083,0.030865414,0.03170636,0.02832932,0.031748503,0.031001575
42,0.03150427,0.031520694,0.03103126,0.031562705,0.031698488,0.031364165,0.031754363,0.03134454,0.03147889,0.031100972,0.030889457,0.030243175,0.029920677,0.030365705,0.03076904,0.030262915,0.02933797,0.03191846,0.031030392,0.030995646,0.03129228,0.031446956,0.03016094,0.028808275,0.030931007,0.030867677,0.03207414,0.03186373,0.031658016,0.031101715,0.03044605,0.031310488,0.027973529,0.031271927,0.030526606
43,0.029983446,0.02988202,0.029433103,0.029963117,0.03019747,0.02983387,0.03030336,0.029850932,0.029819192,0.029576166,0.029221887,0.028660266,0.0283166,0.028872924,0.029237982,0.028829781,0.027897337,0.030466663,0.029458405,0.029370196,0.02970614,0.029882355,0.02856941,0.027230604,0.029343443,0.029270224,0.030364754,0.030144181,0.030156031,0.029487286,0.02889461,0.02993259,0.026779912,0.02955686,0.028826717
44,0.027684053,0.027543146,0.02708063,0.027622895,0.027878264,0.027506528,0.027894886,0.027729087,0.027522344,0.027354285,0.026783882,0.026208984,0.026002195,0.026568308,0.026898775,0.02671359,0.025783883,0.028227417,0.027098605,0.027002575,0.027290445,0.027440539,0.026371282,0.025457809,0.027007572,0.026953919,0.027976893,0.027787475,0.027810473,0.027040023,0.026574604,0.027633166,0.02534007,0.027386367,0.02641456
45,0.024051702,0.023944572,0.023714686,0.024067717,0.024098065,0.023737485,0.024000376,0.024097625,0.023929838,0.023631016,0.02298909,0.022704463,0.022666002,0.02290294,0.02309941,0.02284658,0.022620402,0.024234,0.023415592,0.023380093,0.023480803,0.023584014,0.022941366,0.019976538,0.023367334,0.023177013,0.024347663,0.024290355,0.024198378,0.02336751,0.022628885,0.023883507,0.023003407,0.024320975,0.02291006
46,0.020127667,0.019200344,0.019576168,0.019932661,0.019894369,0.019685538,0.020436304,0.019518249,0.018774047,0.019494291,0.019302668,0.018514413,0.018457556,0.019013023,0.01937614,0.01893846,0.016609646,0.019096073,0.019961134,0.018578336,0.019701345,0.019399926,0.01895004,0.018425234,0.019174224,0.018893223,0.019941833,0.019885054,0.01992837,0.019343445,0.018404614,0.020323932,0.02085895,0.019380433,0.019003484
47,0.018014727,0.018322382,0.017294476,0.018415963,0.018175064,0.017794318,0.017792482,0.017143892,0.018692624,0.017858177,0.016583636,0.016180465,0.016401786,0.018150719,0.01737313,0.017009387,0.016840108,0.018283144,0.017623145,0.018359791,0.017390752,0.017542914,0.016749803,0.016242642,0.01695812,0.017195681,0.01799849,0.018123016,0.018399233,0.01694058,0.016466575,0.018707538,0.018982304,0.0185057,0.016400136
