Period,Scenario,LoadLevel,MEUR
2030,sc01,12-09 04:00:00+01:00,0.6640613629578399
2030,sc01,12-09 05:00:00+01:00,0.7061401198136384
2030,sc01,12-09 06:00:00+01:00,0.7075390677806717
2030,sc01,12-09 07:00:00+01:00,0.7005735914403809
2030,sc01,12-09 08:00:00+01:00,0.6886946273293775
2030,sc01,12-09 09:00:00+01:00,0.6586555444002914
2030,sc01,12-09 10:00:00+01:00,0.6324296295738828
2030,sc01,12-09 11:00:00+01:00,0.6110720720246531
2030,sc01,12-09 12:00:00+01:00,0.6102562316337317
2030,sc01,12-09 13:00:00+01:00,0.612579781522993
2030,sc01,12-09 14:00:00+01:00,0.6176212685141732
2030,sc01,12-09 15:00:00+01:00,0.6397594302504652
2030,sc01,12-09 16:00:00+01:00,0.7198115038973225
2030,sc01,12-09 17:00:00+01:00,0.7866744561225767
2030,sc01,12-09 18:00:00+01:00,0.7968805772102786
2030,sc01,12-09 19:00:00+01:00,0.7875860288530745
2030,sc01,12-09 20:00:00+01:00,0.773481901044164
2030,sc01,12-09 21:00:00+01:00,0.7346008545974656
2030,sc01,12-09 22:00:00+01:00,0.6892451733689313
2030,sc01,12-09 23:00:00+01:00,0.6593687743908841
