Period,Scenario,LoadLevel,Unit,tCO2
2030,sc01,01-17 12:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-17 12:00:00+01:00,CCGT_3,23.296992064986345
2030,sc01,01-17 12:00:00+01:00,Nuclear,0.0
2030,sc01,01-17 12:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 12:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 12:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 12:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 12:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 12:00:00+01:00,CCGT_1,29.32633521716528
2030,sc01,01-17 18:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-17 18:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-17 18:00:00+01:00,OCGT_3,0.0
2030,sc01,01-17 18:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-17 18:00:00+01:00,CCGT_2,100.6582025
2030,sc01,01-17 18:00:00+01:00,CCGT_3,12.701618716006887
2030,sc01,01-17 18:00:00+01:00,Nuclear,0.0
2030,sc01,01-17 18:00:00+01:00,CCGT_4,0.0
2030,sc01,01-17 18:00:00+01:00,OCGT_1,0.0
2030,sc01,01-17 18:00:00+01:00,BrownLignite,0.0
2030,sc01,01-17 18:00:00+01:00,OCGT_2,0.0
2030,sc01,01-17 18:00:00+01:00,ImportedCoal_SubBituminous,0.0
2030,sc01,01-17 18:00:00+01:00,CCGT_1,38.29755736421475
2030,sc01,01-19 11:00:00+01:00,DomesticCoal_Anthracite,0.0
2030,sc01,01-19 11:00:00+01:00,ImportedCoal_Bituminous,0.0
2030,sc01,01-19 11:00:00+01:00,OCGT_3,0.0
2030,sc01,01-19 11:00:00+01:00,FuelOilGas,0.0
2030,sc01,01-19 11:00:00+01:00,CCGT_2,86.05224741104426
2030,sc01,01-19 11:00:00+01:00,CCGT_3,12.746167777182503
2030,sc01,01-19 11:00:00+01:00,Nuclear,0.0
2030,sc01,01-19 11:00:00+01:00,CCGT_4,0.0
2030,sc01,01-19 11:00:00+01:00,OCGT_1,0.0
