Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,p.u.
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,eac1,-0.02916727264448582
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820441468
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,eac1,-0.02823636115450255
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,eac1,-0.025487603664487324
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,cac1,-0.011669359551114727
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,eac1,-0.02181025561451122
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,cac1,-0.011669359551090816
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,eac1,-0.019819992884492876
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,cac1,-0.011669359551109162
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_3,eac1,-0.03652784438009604
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-26 00:00:00+01:00,Node_2,Node_3,eac1,-0.03697215585588509
2030,sc01,01-26 00:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-26 00:00:00+01:00,Node_2,Node_3,cac1,-0.009243038964018874
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-26 00:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-26 00:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_3,eac1,-0.03622398582990627
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-26 01:00:00+01:00,Node_2,Node_3,eac1,-0.037717096872079026
2030,sc01,01-26 01:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-26 01:00:00+01:00,Node_2,Node_3,cac1,-0.009429274218014719
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-26 01:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-26 01:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_3,eac1,-0.035482123119329856
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-26 02:00:00+01:00,Node_2,Node_3,eac1,-0.03876131116054893
2030,sc01,01-26 02:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-26 02:00:00+01:00,Node_2,Node_3,cac1,-0.009690327790121217
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-26 02:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-26 02:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_3,eac1,-0.0340741996493108
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-26 03:00:00+01:00,Node_2,Node_3,eac1,-0.04150589636854818
2030,sc01,01-26 03:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-26 03:00:00+01:00,Node_2,Node_3,cac1,-0.010376474092141028
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-26 03:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-26 03:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-26 04:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-26 04:00:00+01:00,Node_1,Node_2,cac2,0.0
