Period,Scenario,LoadLevel,Node,SRMC
2030,sc01,06-04 20:00:00+02:00,Node_5,15.0
2030,sc01,07-04 00:00:00+02:00,Node_6,15.0
2030,sc01,07-04 00:00:00+02:00,Node_7,15.0
2030,sc01,07-04 00:00:00+02:00,Node_3,15.0
2030,sc01,07-04 00:00:00+02:00,Node_9,15.0
2030,sc01,07-04 00:00:00+02:00,Node_2,15.0
2030,sc01,07-04 00:00:00+02:00,Node_4,15.0
2030,sc01,07-04 00:00:00+02:00,Node_8,15.0
2030,sc01,07-04 00:00:00+02:00,Node_1,14.999999999999998
2030,sc01,07-04 00:00:00+02:00,Node_5,15.0
2030,sc01,07-07 10:00:00+02:00,Node_6,15.000000000000014
2030,sc01,07-07 10:00:00+02:00,Node_7,16.83470458854168
2030,sc01,07-07 10:00:00+02:00,Node_3,39.462727847222226
2030,sc01,07-07 10:00:00+02:00,Node_9,20.809897863715292
2030,sc01,07-07 10:00:00+02:00,Node_2,59.032910125
2030,sc01,07-07 10:00:00+02:00,Node_4,27.23136392361112
2030,sc01,07-07 10:00:00+02:00,Node_8,18.05784098090279
2030,sc01,07-07 10:00:00+02:00,Node_1,15.0
2030,sc01,07-07 10:00:00+02:00,Node_5,27.23136392361112
2030,sc01,07-09 05:00:00+02:00,Node_6,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_7,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_3,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_9,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_2,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_4,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_8,15.000000000000002
2030,sc01,07-09 05:00:00+02:00,Node_1,14.999999999999998
2030,sc01,07-09 05:00:00+02:00,Node_5,15.000000000000002
2030,sc01,07-10 20:00:00+02:00,Node_6,58.032910125
2030,sc01,07-10 20:00:00+02:00,Node_7,58.032910125
2030,sc01,07-10 20:00:00+02:00,Node_3,58.032910124999994
2030,sc01,07-10 20:00:00+02:00,Node_9,58.03291012499994
2030,sc01,07-10 20:00:00+02:00,Node_2,58.032910124999994
2030,sc01,07-10 20:00:00+02:00,Node_4,58.03291012499999
2030,sc01,07-10 20:00:00+02:00,Node_8,58.03291012499994
2030,sc01,07-10 20:00:00+02:00,Node_1,50.51605619241573
2030,sc01,07-10 20:00:00+02:00,Node_5,58.03291012499999
2030,sc01,07-15 05:00:00+02:00,Node_6,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_7,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_3,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_9,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_2,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_4,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_8,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_1,50.516056192415725
2030,sc01,07-15 05:00:00+02:00,Node_5,50.516056192415725
2030,sc01,07-18 20:00:00+02:00,Node_6,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_7,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_3,50.51605619241573
2030,sc01,07-18 20:00:00+02:00,Node_9,50.51605619241573
