LoadLevel,CCGT_1,CCGT_2,CCGT_3,SolarPV_1,WindFarm_1
01-10 01:00:00+01:00,0.0,-1.5390466678866233e-14,0.0,0.0,0.0
01-10 02:00:00+01:00,0.0,2.1510571102112408e-14,0.0,0.0,0.0
01-10 03:00:00+01:00,0.0,2.8504976157250894e-14,0.0,0.0,0.0
01-10 04:00:00+01:00,0.0,-1.0796918914479647e-14,0.0,0.0,0.0
01-10 05:00:00+01:00,0.0,-0.0034669312833115196,0.0034669312833287,0.0,0.0
01-10 06:00:00+01:00,0.0,-0.006321712616652209,0.0063217126166621,0.0,0.0
01-10 07:00:00+01:00,0.0,-0.0016359641767157984,0.0016359641766621,0.0,0.0
01-10 08:00:00+01:00,0.0,3.9968028886505635e-15,0.0,0.0,0.0
01-10 09:00:00+01:00,0.0,-1.9595436384634013e-14,0.0,0.0,0.0
01-10 10:00:00+01:00,0.0,3.159972283839352e-14,0.0,0.0,0.0
01-10 11:00:00+01:00,0.0,1.9692580899288714e-14,0.0,0.0,0.0
01-10 12:00:00+01:00,0.0,2.7394753132625738e-14,0.0,0.0,0.0
01-10 13:00:00+01:00,0.0,4.599098879509711e-14,0.0,0.0,0.0
01-10 14:00:00+01:00,0.0,-9.103828801926284e-15,0.0,0.0,0.0
01-10 15:00:00+01:00,0.0,-1.7069679003611782e-15,0.0,0.0,0.0
01-10 16:00:00+01:00,0.0,7.188694084447889e-14,0.0,0.0,0.0
01-10 17:00:00+01:00,0.0,-4.5602410736478305e-14,0.0,0.0,0.0
01-10 18:00:00+01:00,0.0,-5.578870698741412e-15,0.0,0.0,0.0
01-10 19:00:00+01:00,0.0,-1.6930901125533637e-15,0.0,0.0,0.0
01-10 20:00:00+01:00,0.0,6.716849298982197e-15,0.0,0.0,0.0
01-10 21:00:00+01:00,0.0,3.35009797680641e-14,0.0,0.0,0.0
01-10 22:00:00+01:00,0.0,4.769795669545829e-14,0.0,0.0,0.0
01-10 23:00:00+01:00,0.0,1.1005085731596864e-14,0.0,0.0,0.0
01-11 00:00:00+01:00,0.0,-1.0297318553398327e-14,0.0,0.0,0.0
01-11 01:00:00+01:00,0.0,-6.300515664747763e-15,0.0,0.0,0.0
01-11 02:00:00+01:00,0.0,-1.459943277382081e-14,0.0,0.0,0.0
01-11 03:00:00+01:00,0.0,2.980948821118545e-14,0.0,0.0,0.0
01-11 04:00:00+01:00,0.0,5.592748486549226e-15,0.0,0.0,0.0
01-11 05:00:00+01:00,0.0,2.4605317783255032e-14,0.0,0.0,0.0
01-11 06:00:00+01:00,0.0,2.9504176879413535e-14,0.0,0.0,0.0
01-11 07:00:00+01:00,0.0,2.400857290751901e-14,0.0,0.0,0.0
01-11 08:00:00+01:00,0.0,5.549727344345001e-14,0.0,0.0,0.0
01-11 09:00:00+01:00,0.0,2.0497492592141953e-14,0.0,0.0,0.0
