Period,Scenario,LoadLevel,Node,GWh
2030,sc01,06-12 08:00:00+02:00,Node_3,0.0
2030,sc01,06-12 08:00:00+02:00,Node_6,0.0
2030,sc01,06-12 08:00:00+02:00,Node_5,0.0
2030,sc01,06-12 18:00:00+02:00,Node_1,0.0
2030,sc01,06-12 18:00:00+02:00,Node_2,0.0
2030,sc01,06-12 18:00:00+02:00,Node_8,0.0
2030,sc01,06-12 18:00:00+02:00,Node_4,0.0
2030,sc01,06-12 18:00:00+02:00,Node_7,0.0
2030,sc01,06-12 18:00:00+02:00,Node_9,0.0
2030,sc01,06-12 18:00:00+02:00,Node_3,0.0
2030,sc01,06-12 18:00:00+02:00,Node_6,0.0
2030,sc01,06-12 18:00:00+02:00,Node_5,0.0
2030,sc01,06-22 00:00:00+02:00,Node_1,0.0
2030,sc01,06-22 00:00:00+02:00,Node_2,0.0
2030,sc01,06-22 00:00:00+02:00,Node_8,0.0
2030,sc01,06-22 00:00:00+02:00,Node_4,0.0
2030,sc01,06-22 00:00:00+02:00,Node_7,0.0
2030,sc01,06-22 00:00:00+02:00,Node_9,0.0
2030,sc01,06-22 00:00:00+02:00,Node_3,0.0
2030,sc01,06-22 00:00:00+02:00,Node_6,0.0
2030,sc01,06-22 00:00:00+02:00,Node_5,0.0
2030,sc01,06-29 10:00:00+02:00,Node_1,0.0
2030,sc01,06-29 10:00:00+02:00,Node_2,0.0
2030,sc01,06-29 10:00:00+02:00,Node_8,0.0
2030,sc01,06-29 10:00:00+02:00,Node_4,0.0
2030,sc01,06-29 10:00:00+02:00,Node_7,0.0
2030,sc01,06-29 10:00:00+02:00,Node_9,0.0
2030,sc01,06-29 10:00:00+02:00,Node_3,0.0
2030,sc01,06-29 10:00:00+02:00,Node_6,0.0
2030,sc01,06-29 10:00:00+02:00,Node_5,0.0
2030,sc01,07-10 18:00:00+02:00,Node_1,0.0
2030,sc01,07-10 18:00:00+02:00,Node_2,0.0
2030,sc01,07-10 18:00:00+02:00,Node_8,0.0
2030,sc01,07-10 18:00:00+02:00,Node_4,0.0
2030,sc01,07-10 18:00:00+02:00,Node_7,0.0
2030,sc01,07-10 18:00:00+02:00,Node_9,0.0
2030,sc01,07-10 18:00:00+02:00,Node_3,0.0
2030,sc01,07-10 18:00:00+02:00,Node_6,0.0
2030,sc01,07-10 18:00:00+02:00,Node_5,0.0
2030,sc01,07-12 09:00:00+02:00,Node_1,0.0
2030,sc01,07-12 09:00:00+02:00,Node_2,0.0
2030,sc01,07-12 09:00:00+02:00,Node_8,0.0
2030,sc01,07-12 09:00:00+02:00,Node_4,0.0
2030,sc01,07-12 09:00:00+02:00,Node_7,0.0
2030,sc01,07-12 09:00:00+02:00,Node_9,0.0
2030,sc01,07-12 09:00:00+02:00,Node_3,0.0
2030,sc01,07-12 09:00:00+02:00,Node_6,0.0
2030,sc01,07-12 09:00:00+02:00,Node_5,0.0
2030,sc01,07-14 19:00:00+02:00,Node_1,0.0
2030,sc01,07-14 19:00:00+02:00,Node_2,0.0
2030,sc01,07-14 19:00:00+02:00,Node_8,0.0
2030,sc01,07-14 19:00:00+02:00,Node_4,0.0
2030,sc01,07-14 19:00:00+02:00,Node_7,0.0
2030,sc01,07-14 19:00:00+02:00,Node_9,0.0
2030,sc01,07-14 19:00:00+02:00,Node_3,0.0
2030,sc01,07-14 19:00:00+02:00,Node_6,0.0
2030,sc01,07-14 19:00:00+02:00,Node_5,0.0
2030,sc01,07-15 07:00:00+02:00,Node_1,0.0
2030,sc01,07-15 07:00:00+02:00,Node_2,0.0
2030,sc01,07-15 07:00:00+02:00,Node_8,0.0
2030,sc01,07-15 07:00:00+02:00,Node_4,0.0
2030,sc01,07-15 07:00:00+02:00,Node_7,0.0
2030,sc01,07-15 07:00:00+02:00,Node_9,0.0
2030,sc01,07-15 07:00:00+02:00,Node_3,0.0
2030,sc01,07-15 07:00:00+02:00,Node_6,0.0
2030,sc01,07-15 07:00:00+02:00,Node_5,0.0
2030,sc01,07-16 00:00:00+02:00,Node_1,0.0
2030,sc01,07-16 00:00:00+02:00,Node_2,0.0
2030,sc01,07-16 00:00:00+02:00,Node_8,0.0
2030,sc01,07-16 00:00:00+02:00,Node_4,0.0
2030,sc01,07-16 00:00:00+02:00,Node_7,0.0
2030,sc01,07-16 00:00:00+02:00,Node_9,0.0
2030,sc01,07-16 00:00:00+02:00,Node_3,0.0
2030,sc01,07-16 00:00:00+02:00,Node_6,0.0
2030,sc01,07-16 00:00:00+02:00,Node_5,0.0
2030,sc01,07-24 14:00:00+02:00,Node_1,0.0
2030,sc01,07-24 14:00:00+02:00,Node_2,0.0
2030,sc01,07-24 14:00:00+02:00,Node_8,0.0
2030,sc01,07-24 14:00:00+02:00,Node_4,0.0
2030,sc01,07-24 14:00:00+02:00,Node_7,0.0
2030,sc01,07-24 14:00:00+02:00,Node_9,0.0
2030,sc01,07-24 14:00:00+02:00,Node_3,0.0
2030,sc01,07-24 14:00:00+02:00,Node_6,0.0
2030,sc01,07-24 14:00:00+02:00,Node_5,0.0
2030,sc01,07-24 16:00:00+02:00,Node_1,0.0
2030,sc01,07-24 16:00:00+02:00,Node_2,0.0
2030,sc01,07-24 16:00:00+02:00,Node_8,0.0
